序号,新闻内容
269,11月20日，数学学院持续开展“访企拓岗”活动，邀请浙江省嘉兴市秀洲区人才科创集团有限公司党委委员、副总经理王顺飞校友一行来院交流。双方围绕人才培养、科研合作、就业发展等方面进行了深入交流。
270,11月20日，医学院召开专题研讨会，就《健康中国行动——癌症防治行动实施方案（2023-2030年）》进行深入研讨交流。
271,11月20日，格拉斯哥学院党委召开主题教育整改落实情况“回头看”工作推进会，认真梳理研讨主题教育问题清单和专题民主生活会整改清单完成情况，并对进一步推进整改工作进行了部署安排。
272,11月20日，由校研究生会主办、自动化学院研究生会承办的“研职有道”活动举行，邀请智联招聘相关负责人作了分享交流。
273,11月19日，格拉斯哥海南学院举办首届“海格Higher”学术交流月开幕仪式暨系列讲座，邀请了通信抗干扰全国重点实验室梁应敞教授、周亮教授分别作了题为“人工智能与未来网络交叉融合趋势与展望”和“简单几图看6G”的专题讲座。
274,11月19日，英才实验学院开展《思想道德与法治》课程课外研学活动，60余名师生前往“两弹城”参观学习，传承“两弹精神”、厚植爱国情怀。
275,11月18日，计算机（网安）学院受邀参加清华大学“家国计”国内高校专场就业洽谈会，介绍了“预聘-长聘”教职制度和博士后政策，吸引了清华大学计算机学科的博士、博士后现场咨询。
276,11月17日，由教师发展中心主办、机电学院承办的学术沙龙举行，邀请上海交通大学溥渊未来技术学院鲍华教授作了题为“微纳尺度的导热和辐射传热：从机理到调控”的学术报告。
277,11月17日-18日，校党委书记王亚非率队赴贵州省岑巩县开展定点帮扶工作调研。期间，与岑巩县党政领导就推进岑巩县巩固拓展脱贫攻坚成果同乡村振兴有效衔接进行工作座谈，举行“成电帮扶助力乡村教育振兴公益基金”捐赠仪式，实地考察下溪水库国家淡水渔业基地，前往岑巩四中调研教育帮扶工作并看望研究生支教团成员，前往塔山村调研党建引领乡村振兴示范点建设和产业发展情况并看望慰问学校帮扶挂职干部，校团委副书记徐科接替张泽宝挂职岑巩县委副书记，研究生院罗尹奇接替张昀皓挂职岑巩县大有镇塔山村第一书记。党委组织部，合作发展部、帮扶办等相关部门负责同志和深圳校友会代表等参与调研。
278,11月16日-18日，四川省高校第七届心理健康教育课程教学比赛决赛暨2023年四川省心理学会高校心理健康教育专委会年会在攀枝花学院举办。我校刘晨老师荣获课程教学比赛二等奖，李谷静、陈亚老师荣获四川省心理健康教育先进个人称号，王海星老师的论文荣获优秀论文一等奖并作大会报告，刁静、刘红梅、陈亚、刘晨等老师的4篇论文荣获优秀论文二等奖。
279,11月17日，自动化学院学生发展指导中心举办“雄鹰讲坛”第10期，邀请北京师范大学人工智能学院邬霞教授作题为“脑功能数据智能分析”的学术讲座。
280,11月17日，四川省科协党组书记、副主席毛大付一行到校访问，校长曾勇在清水河校区会见来宾，双方围绕科研成果转化、平台共建、项目申报等进行了深入交流。学校办、科研院相关负责人参加会见。
281,11月18日，电子科技大学第二十二次学生代表大会在清水河校区召开，校党委副书记申小蓉出席大会并讲话，会议审议通过了学校第二十一届学生会工作报告，选举产生了第二十二届学生会主席团成员。261名学生代表，党委学工部、校团委、党委研工部有关负责同志、省市学联执行主席，部分高校学生会代表、研究生会学生代表、留学生代表等参加会议。
282,11月18日，由校工会、校女工委举办的教职工银婚庆典在郫都区举行，15对夫妻携手参加。
283,11月17日，信通学院研究生党支部赴解放军某部开展“探寻雷达精神，传递报国情怀”主题党日活动，强化支部党员的国防意识和报国情怀。
284,11月17日，电子学院院长李斌一行到香港城市大学交流访问，与电机工程学系主任陆贵文教授、太赫兹及毫米波国家重点实验室副主任黄衡教授围绕人才联合培养、成建制学术互访等进行了深入交流。会后，进行了一对一人才引进交流活动。
285,11月17日，自动化学院举办2024年国家自然科学基金申报经验交流会，邀请周雪教授、高潇阳博士后分别就面上项目和青年基金项目申报作分享。
286,11月17日，由研究生院、中国电科研究生院联合主办，软件学院承办的第五期“成电·电科大讲堂”系列讲座，邀请中国电科智能科技研究院正高级工程师樊志强作题为“从未来战争浅析体系智能”的专题报告。
287,11月17日，集电学院举办资助政策宣传培训会，学院资助专项负责老师、资助宣传大使面向2021级、2022级学生围绕国家奖助学金、助学贷款、勤工助学等学生资助政策进行了专题讲解。
288,11月17日，深圳高研院召开国家自然科学基金申报专题系列辅导活动，科研院副院长张希琳受邀作国家自然科学基金相关政策解读和申报建议辅导，万少华教授、江彬彬教授分享申报经验，深圳高研院党委书记邹见效作动员讲话。50余名专任老师和博士后参加活动。
289,11月17日，经管学院开展“访企拓岗”活动，36名师生走访字节跳动抖音集团，双方围绕企业文化、实习就业供需对接、校企合作等进行了深入交流。
290,11月17日，国际教育学院学生发展指导中心面向全校留学生开展“Academic Frontier Exploration”学术专题讲座。邀请学报编辑部何雨莲老师围绕学术论文写作规范作分享。
291,11月16日，由研究生院主办、电子学院承办的研究生卓越发展引航讲坛在清水河校区举行，邀请航天五院西安分院苏继东研究员作题为“仰望星空，脚踏实地——传承与弘扬航天精神”的主题讲座。
292,11月16日，计算机（网安）学院开展安全专题培训会，邀请学校保卫处徐志海作主题讲座，并组织了师生安全教育知识竞赛。
293,11月16日，数学学院开展2023级新生教育系列讲座，邀请校医院林媛老师、图书馆喻梦倩老师分别围绕共同抵御疾病风险、携手共建健康校园，图书馆纸质资源和电子资源的检索与利用作分享。
294,11月16日，生命学院开展秋季学期中期教学检查本科学生座谈会，围绕教学过程中同学们关心的问题进行了深入交流。
295,11月16日，集电学院赴广元市旺苍县与张华镇人民政府举行校地合作签约仪式，并向张华镇中心小学校授牌共建电子科技大学大学生社会实践基地，双方围绕校地常态化共建、人才培养、乡村振兴等进行了深入交流。
296,11月17日，马克思主义学院硕士研究生第一党支部联合时政讲习所、信通学院电子工程系研究生第十二党支部、物联网工程系研究生第一党支部、网络工程系研究生第七党支部联合举办“深入学习贯彻习近平主席给古巴科学家裴德乐重要回信精神”主题党课，围绕青年学生党员如何结合各自专业特色为助力“一带一路”建设、共建人类命运共同体、科技强国战略发展贡献青春力量进行了交流分享。
297,11月17日，自动化学院党委组织党员师生赴四川省防灾减灾教育馆参观学习，近30名师生参加活动。
298,11月17日，国防科技大学大数据与决策实验室主任黄宏斌、中国兵器207所所长助理陈勇一行到软件学院调研，双方围绕大数据领域的科研合作、人才培养等进行了深入交流。
299,11月17日，医学院举行院领导接待日暨师生座谈会，学院负责人、老师与同学们围绕课程学习、个人发展、校园生活等作交流。
300,11月17日，南京理工大学钱学森学院一行到英才学院调研，双方围绕拔尖人才特区党建工作、日常管理模式、“一站式”学生社区建设等进行了深入交流。
301,11月17日，信息中心副主任张映敏到光电学院调研，双方围绕信息化建设、网络安全工作等进行了深入交流。
302,11月17日，学校举行首期二级纪委委员（纪检委员）能力提升培训班第四讲《学校重点领域和关键环节廉洁风险防控》。党委教工部副部长、教师发展中心副主任张川东，招标采购中心主任张海涛分别从师德师风、招标采购作廉洁风险防控培训。
303,11月17日，研究生院举办第八期“研究生求职工作坊”，邀请招商银行·招银网络科技招聘负责人向永兴老师围绕就业规划、简历撰写、面试应对技巧等作分享。
304,11月15日-17日，光电学院、格拉斯哥学院分别组织2023年度杰出学生答辩，同学们围绕学业成绩、科研成果、社会实践与志愿服务、文体活动等作汇报，学院相关负责人、班导师代表等出席活动。
305,11月16日，济通智能装备股份有限公司董事长伍大成，葛洲坝集团机电建设公司科信部总经理、工程研究院院长卫书满一行到自动化学院调研，双方围绕科学研究、未来合作等进行了深入交流。
306,11月16日，软件党委副书记郭志勇一行赴重庆参加新加坡国立大学青年学者论坛暨新国大重庆研究院合作院校交流会，围绕学生培养、“3+1+1”本硕联合培养项目等进行了深入交流，并与学院今年参加“3+1+1”项目的7位同学围绕课程设置、教师教学、文体活动等进行了座谈。
307,11月16日，数学学院举行2023年考研交流会，学院党委副书记赵文丽带队为备战考研的同学送上祝福和鼓励。
308,11月16日，生命学院副院长李凌到材料学院调研交流，围绕提高学生认同度和归属感、调动教师参与教研教改、生源选拔程序和质量、研究生招生指标分配机制、本科实验室管理等进行了深入交流。
309,11月16日，集电学院分党校举行入党积极分子和发展对象专题报告会，邀请马克思主义学院张林副教授作题为“马克思主义中国化时代化新的飞跃”的辅导报告。
310,11月16日，深圳高研院一行赴英维克科技股份有限公司调研，双方围绕研究生联合培养、校企课程共建、科研平台共建、学生就业等进行了深入交流。
311,11月16日，基础院“己·初”辅导站开展“心理健康状态识别与维护”主题讲座，邀请心理教育健康中心兼职咨询师胡鹏飞围绕如何识别自己的心理状态、自我心理健康日常维护、心理健康求助途径和方法等作分享。
312,11月16日，学校召开核心通识课2.0建设研讨会，聚焦“打造通识共同体，提质增效再创新”，交流研讨核心通识课高质量建设计划。学校通识教育委员会，核心通识课首席教授、骨干教师及教务处负责人参加会议。
313,11月16日，世界大学生创新创业基地2023年“互联网+”大赛成果对接会在重庆召开，我校“面向6G的新一代高速通信技术项目”受邀参加展示。
314,11月15日，电子学院院长李斌一行到香港科技大学调研，双方围绕前沿研究成果、人才联合培养、科研合作、学术互访等进行了深入交流。
315,11月15日，计算机（网安）学院牵头举办“计承者·师生谈心会”——“互联网+”复合型精英人才双学士学位培养计划实验班专场，围绕本学期开设的课程学习情况进行了深入交流。信通学院、材料学院、机电学院、计算机（网安）学院、数学学院、经管学院等6个学院党委副书记、教学副院长、任课老师、实验班学生代表参加会议。
316,11月15日，集电学院举行“团队芯·芯党建”党支部书记及党员骨干培训第三期，邀请党委组织部黄健老师作题为“严格组织生活制度 增强组织生活活力”的专题培训。
317,11月16日，校党委书记王亚非一行到自动化学院、马克思主义学院调研指导，学院相关负责人围绕学院高质量发展目标任务推进情况作工作汇报。相关职能部门负责人参加调研。
318,11月16日，学校知识产权信息服务中心（图书馆）举办2023年高校知识产权信息服务中心联盟年会暨第六届学术研讨会，副校长朱宏出席活动并致辞，教育部高校图工委主任陈建龙、国家知识产权局检索咨询中心副主任张景、其他高校上百家联盟成员代表参加会议。
319,11月15日，张家港市委书记韩卫一行来校访问，副校长胡皓全在清水河校区会见来宾。双方就人才培养、科学研究、成果转化等进行了深入交流。相关学院、职能部门负责人等陪同会见。
320,11月15日，副校长徐红兵调研海南陵水黎安国际教育创新试验区，双方围绕海洋电子信息领域科研平台建设、科技成果转化、产教融合等进行了深入交流。会谈后，徐红兵考察了园区办学条件和格拉斯哥海南学院办学情况。科学技术发展研究院、深圳高研院相关负责人参加调研。&nbsp;
321,11月16日，宜宾学院党委副书记徐其虎一行来校调研，副校长胡俊出席座谈会，双方围绕目标任务考核、定员定编定岗等进行了深入交流。人力资源部相关负责人参加会议。
322,11月16日，学校召开外事工作培训会，副校长罗光春出席会议并致辞，中国农业大学冯伟哲教授作题为“新时代中外合作办学的机遇与挑战”的报告，自动化学院、生命学院、经管学院、格拉斯哥学院作专题分享。各学院相关负责人及教师代表参加培训。
323,11月16日，四川省制造业智能化改造数字化转型培训班（全省经信体系场）在清水河校区开班。省经信厅二级巡视员廖先德、副校长罗光春出席活动并讲话，计算机（网安）学院副院长鲁力、经信厅大数据与信息化处副处长丁涛等参加活动。
324,11月16日，信通学院召开本科生师生座谈会，副院长虞红芳、学院实验首席林水生教授、课程骨干何茜教授、学生科老师、教务科老师围绕培养方案、课程学习、出国留学及推免等与2022级、2023级学生代表进行了深入交流。
325,11月16日，电子学院举办“院领导面对面”活动。学院党委副书记张铱晗围绕学生组织建设、校园文化等与团学组织学生骨干进行了深入交流。
326,11月16日，光电学院院长刘永一行到重庆康佳光电科技有限公司调研，双方就科研项目合作、工程硕博联合培养等进行了深入交流。
327,11月16日，航空航天学院召开教材建设专题研讨会，学院教材编写组与来自国防工业出版社、中国电子科技集团战略规划部、电科43所、成都市航空航天产业联盟等单位的专家围绕航空航天专业类教材建设进行了研讨。
328,11月16日，经管学院举行2023级本科学业导师工作交流会，围绕2023级本科生基本情况、学业导师工作、导师组活动开展形式与方法、落实“三全育人”要求、助力人才培养等进行了深入交流。
329,11月16日，学校举行2023年“专业教育核心课程体系建设计划”评审与研讨会议，围绕新一轮培养方案全面修订、专业教育核心课程体系建设、专业教育品牌课程打造等进行了深入交流，全校16个学院、39个项目参与交流。
330,11月16日，香港高级公务员研修班调研团来校调研，双方围绕内地高等教育现状、两地高等教育管理等进行了深入交流。
331,11月16日，校工会开展“开好一个会”二级教代会、工会换届选举会议工作培训会。各单位相关负责人参会。校工会常务副主席杨恩华主持会议。
332,11月15日-16日，机关党委副书记谭涛、学校办公室副主任唐灿带队赴浙江大学、华中科技大学、武汉大学调研行政服务办事大厅建设运行情况，围绕一站式服务、办公信息化、综合协调以及政策研究等进行了深入交流。
333,11月15日-16日，党委学工部、党委研工部举行2023年新入职辅导员培训，学工部部长钱云光、特聘辅导员赵璧全老师分别作题为“新时代学生工作的内涵与要求”“发扬成电学工光荣传统，在建设一流大学中建功立业”的主题报告，研工部部长徐岩为4名职业启航导师颁发聘书。本次培训分为确立职业理想、感悟成电情怀、强化业务能力、加强工作交流、职业技能初体验等5个教学环节。
334,11月15日，电子学院院长李斌一行到香港科技大学电子与计算机工程学系调研，与系主任潘永安教授、副系主任袁杰副教授、研究生项目负责人王怡雯副教授等围绕人才联合培养、科研合作、双边研讨会等进行了深入交流。会后，还进行了一对一人才引进交流活动。
335,11月15日，学校中法硕士项目开展“嵌入式研学工坊法企进校园”讲座第二期。邀请施耐德电气公司企业代表及工程师专家为同学们讲解实际案例，分享行业经验。
336,11月15日，中国电科集团代培研究生第一、第二临时党支部，软件学院本科生第一、二、四、七党支部赴成都博物馆开展“品味蓉城古韵 涵养文化情怀”主题党日活动，体会巴蜀独特文化，厚植爱国主义革命精神。
337,11月15日，经管学院举办新生教育系列讲座——传染病防控知识讲座，邀请校医院林媛老师作题为“共同抵御疾病风险，携手共建健康校园”的分享。
338,11月15日，马克思主义学院唐登蕓副教授以“领会习近平新时代中国特色社会主义思想的世界观与方法论”为题为电子学院分党校第72期积极分子和2023年第2期发展对象培训班学员讲授专题党课。
339,11月15日，格拉斯哥学院举行海外名校招生官面对面活动，邀请南洋理工大学精密科学仪器专业项目主管Renshaw Wang在线围绕招生政策、申请条件、培养特色、就读体验、职业发展等作分享。
340,11月15日，校团委、基础教育管理办公室与学校附属中小学、幼儿园围绕团的组织建设、社会实践、志愿服务、社团建设、科创活动等进行了深入交流。
341,11月14日-15日，党委统战部赴复旦大学、同济大学、上海交通大学、浙江大学四校统战部门调研，实地考察统战工作阵地，围绕统战工作先进经验进行了深入交流。
342,11月15日，国际教育学院召开校院两级留学生管理工作人员培训会。成都市出入境管理局一级警长王珏围绕留学生涉外管理工作作培训。
343,11月15日，校党委书记王亚非一行到信通学院、机电学院、物理学院、基础院调研指导，学院相关负责人围绕党建工作和高质量发展目标任务推进情况作工作汇报。相关职能部门负责人参加调研。
344,11月15日，北京故宫文物保护基金会名誉理事长、故宫考古研究所名誉所长李季做客成电讲坛，作题为“紫禁城 • 故宫 • 故宫博物院”的讲座。校党委副书记申小蓉会见李季，介绍了学校电子科技博物馆的建设情况。
345,11月14日，信通学院与中国科学院深圳先进技术研究院开展交流座谈会，双方围绕人才培养、学生深造等进行了深入交流。
346,11月14日，电子科技大学-西南财经大学高层次人才联合培养项目2023级硕士研究生新生开班典礼在清水河校区举行。校长曾勇、西南财大校长李永强出席典礼并致辞，副校长胡皓全主持典礼，计算机（网安）学院副院长杨阳教授介绍项目情况，两校研究生院相关负责人为导师代表颁发聘任书，导师代表、西南财大李志勇教授，新生代表、计算机（网安）学院研究生王剑波分别作了发言。两校培养项目相关教师和全体新生参加典礼。
347,11月14日，四川省制造业智能化改造数字化转型培训班开班仪式在清水河校区举行。四川省经信厅二级巡视员廖先德，副校长朱宏分别致辞，计算机（网安）学院党委书记张庆琳、副院长鲁力，经信厅大数据与信息化处副处长金文彬等参加仪式。
348,11月13日，衢州市委副书记、市长徐张艳率衢州市代表团一行来校访问，校党委书记王亚非在清水河校区会见来宾。校长曾勇出席校地合作座谈交流会。衢州市副市长李宁，副校长徐红兵、孔令讲参加会见或座谈会。会上听取了电子科技大学长三角研究院（衢州）建设情况汇报，双方围绕提速人才引育，提升平台能级，加强产业合作，携手推动学校和地方事业高质量发展进行了深入交流。
349,11月12日，学校与成都外国语学校联合举办“创新设计思维工作坊”，从高一、高二学生中遴选了40名学生参加创新设计体验。信通学院、格拉斯哥学院教师进行了全程引导。
350,11月10日，电子学院在“先锋E家”一站式学生社区举办“班主任说”活动和“校友说”专场分享会，分别邀请2023级班主任鄢然教授、2016届校友明煜航作了分享交流。
351,11月10日，格拉斯哥学院举行“小球连世界”中外教职工乒乓球比赛。本次比赛是学院工会打造的“小球连世界”系列文体活动的第一站活动。
352,11月9日，软件学院举办“信雅师路 跃动研途”师生篮球赛，软件学院和中国电科集团师生代表参赛。
353,11月9日-10日，副校长孔令讲带队到深圳走访校友及相关企业，分别与中兴通讯总裁徐子阳、汇顶科技董事长张帆、芯海科技董事长卢国建、TP-LINK副总经理白瑞虹、比亚迪总裁助理肖锦等校友会面交流、深入了解所在企业发展情况，并介绍了学校教学改革情况，征求校友们对母校人才培养的意见建议。期间，孔令讲一行还与部分校友进行了座谈。合作发展部、研究生院相关负责人参加走访。
354,11月7日，“就业向未来 建功新时代”电子科技大学2023年秋季双选会在两校区举行，共有320家用人单位来校揽才。校党委书记王亚非、校长曾勇，校领导申小蓉、胡皓全到现场与用人单位和学生进行了深入交流。
355,11月7日，电子科技大学第二十三次研究生代表大会召开，校党委副书记申小蓉出席开幕会并致辞。四川省学生联合会、四川大学研究生会，学校研工部、校团委相关负责人出席开幕会，来自各学院的200名研究生代表参会。会议审议通过了电子科技大学第二十四届研究生会工作报告，选举产生了第二十五届研究生会委员会委员以及研究生会主席团成员。
356,11月6日，副校长胡俊率团出席在重庆召开的首届“一带一路”科技交流大会开幕式，并在“一带一路”十年成果展上向中共中央政治局常委、国务院副总理丁薛祥汇报了电子科技大学在脑科学研究方面取得的丰硕成果，同时表示，学校将深入学习贯彻习近平主席给古巴科学家裴德乐重要回信精神，在脑科学领域取得更多突破性进展，为落实“一带一路”科技合作做出新的更大贡献。
357,11月7日，学校召开2023年下半年人才优先发展战略工作小组座谈会，副校长胡俊、校人才优先发展战略工作小组成员单位相关负责人参会。会议深入学习了习近平主席给古巴科学家裴德乐重要回信精神，研讨了《电子科技大学外籍教师选聘办法（征求意见稿）》等相关文件，并对充分发挥人才优先发展战略工作小组的协同性、整体性、系统性，引领人才驱动学校各项事业高质量发展等进行了部署安排。
358,11月4日-5日，2023年中国计算机实践教育学术会议（CPEC2023）在福州举办。我校计算机（网安）学院詹文翰、吴淮、吉家成三位老师提交的“基于全国大学生信息安全竞赛的挑战性实验课程案例”、张翔老师提交的“基于阿里云的 Python 微服务设计与 DevOps 应用实验”两个案例均获一等奖，并在会议分论坛上对获奖案例进行了报告。
359,11月7日，自动化学院党委、数学学院党委、医学院党总支、经管学院党委、外国语学院党委、体育部党总支、继续教育学院党委、后勤保障部党委分别召开会议，专题学习习近平主席给古巴科学家裴德乐重要回信精神，并结合实际工作进行了交流讨论。
360,11月7日，软件学院党委与体育部党总支联合开展“传承成电体育精神，拼搏奋进新征程”主题党日活动暨软件学院“一院一品”授牌仪式，专题学习习近平主席给古巴科学家裴德乐重要回信精神，并围绕基层党组织共建共学进行了交流研讨。
361,11月7日，学校举办第十二期思政及师德师风培训班开班典礼。党委教师工作部部长李会勇教授作领学报告；马克思主义学院院长吴满意教授作了题为“习近平新时代中国特色社会主义思想的世界观、方法论”的专题报告；集成电路工程学院张波教授作了题为“为党育人、为国育才，助力行业发展”的主题分享。本期培训班的主题是“弘扬教育家精神，勇担教育强国使命”，全校243名教师参加本期培训。
362,11月7日，学校首期二级纪委委员（纪检委员）能力提升培训班开展实践教育活动，组织学员前往四川省（成都市）法纪教育基地参观学习，进一步筑牢二级纪检监察队伍的思想防线。
363,11月7日，信通学院负责人一行到清华大学电子工程系调研，双方围绕“高质量党建引领事业高质量发展”进行了深入研讨交流。
364,11月7日，成都大运会首金得主曹茂园做客成电讲坛（信雅系列），作了题为“传递金牌精神，分享奋斗故事”的报告。
365,11月7日，绵阳市第三人民医院副院长王绍彬一行来访医学院，双方围绕医学特色人才培养、博士后工作站管理、毕业生就业招聘等方面进行深入交流。
366,11月7日，由经管学院青年教师联谊会主办的“经彩学术沙龙”举行首期活动，邀请学院副教授钟颖作了题为“复杂系统的并行仿真优化”的学术报告。
367,11月6日，达迩科技（成都）有限公司一行到集成电路学院访问，双方围绕人才培养、实习就业、科研合作等方面进行了深入交流。
368,11月6日，格拉斯哥学院举行海外名校招生官面对面活动，邀请英国纽卡斯尔大学招生官介绍相关情况，并围绕同学们关心的问题进行了交流解答。
369,11月6日，国际教育学院举行“感受中国电子信息发展，触摸中国式现代化脉搏”国情教育系列活动，组织我校留学生参观访问了四川中光防雷科技股份有限公司的实验室和生产线，聆听企业的创业故事，学习中国电子企业的创新经验。该活动旨在以第二课堂为契机，以国情教育为载体，助力国际留学生IT行业顶尖人才的培养。
370,11月6日，图书馆召开2023年电子科技大学知识产权信息服务交流研讨会。科研院、产研院、经管学院、公管学院、资产公司（电子科技大学专利中心）等多个校内单位负责人、专家和老师出席会议，围绕专利成果管理、专利申请与转化、知识产权人才培养、协作共建等主题作了深入交流研讨。
371,11月5日-6日，软件学院负责人一行到深圳参加2023工业软件生态大会及云谷论道-人才论坛等分论坛，并调研了国内工业软件行业企业发展情况及工业软件人才培养现状。
372,11月5日，格拉斯哥海南学院举行“学在成电，矢志奋斗”主题演讲比赛，选手们围绕自己在成电的学习生活感悟，进行了演讲交流。
373,11月5日，由经管学院MBA项目主办、2022级领航班承办的“云程大咖沙龙”医疗专场交流会举行，围绕医疗行业新热点和新趋势进行深入讨论。
374,11月4日，基础院量子物理与工程实验室“导学思政”培育团队开展“传承红色基因，赓续红色血脉”实践教育，前往川陕苏区巴中市将帅碑林和川陕革命根据地博物馆，传承革命精神、赓续红色血脉。
375,11月3日，四川省科技厅党组书记、厅长吴群刚来校看望慰问裴德乐教授，实地参观了解相关领域科研成果，并现场研究推进“一带一路”联合实验室创建有关事宜。省科技厅党组成员、副厅长、省外国专家局局长杨品华，省科技厅二级巡视员过衍，校党委书记王亚非、副校长胡俊陪同看望。省科技厅资源配置与管理处、人事处负责人，学校人才办、科研院、生命学院负责人，生命学院外籍专家代表参加活动。
376,11月3日，学校举行教师党支部书记“双带头人”工作推进会暨“头雁领航工作站”成立仪式。校党委书记王亚非出席会议，为教师党支部书记“双带头人”头雁领航工作站揭牌并讲话。校党委副书记申小蓉、彭岚为13个第二批“双带头人”教师党支部书记工作室授牌。校党委副书记靳敏介绍了学校“双带头人”工作情况。四川省高校“双带头人”工作室负责人俞博、学校第二批“双带头人”工作室负责人周佩珩、信通学院党委书记冷甦鹏作了分享交流。会后举行了教师党支部书记“双带头人”头雁领航工作站——“领雁工作坊”首期讲座，邀请北京航空航天大学机械工程及自动化学院党委书记、首批全国高校党建工作标杆院系负责人张志刚，北京航空航天大学机械工程及自动化学院教授、首批全国高校“双带头人”工作室负责人张德远分别作了专题报告。各职能部门负责人、二级党组织书记、教师党支部书记和组织员参加会议。
377,11月3日，中国建筑第四工程局有限公司党委书记、董事长易文权来校访问，校党委书记王亚非会见来宾，双方围绕推进校企合作进行了深入交流。中建四局副总经理、总经济师梁丁松，市场部执行总经理张嘉，西南分局、四川建设有限公司党委书记、董事长亢秀山，党委副书记、总经理王允光，我校副校长朱宏、基建处处长有祥君参加会见。
378,11月3日，创新创业学院举行2023级工商管理（创新创业方向）辅修专业暨创新创业实验班开班仪式。校党委副书记、创新创业学院院长申小蓉出席仪式并讲话。相关职能部门、学院负责人，辅修专业教师、经管学院教师代表、2023级创新创业实验班全体同学参加仪式。
379,11月2日，由信通学院协办的2023国际产学研用合作会议光电子信息与新一代信息技术分会在电子科技大学清水河校区举办，副校长徐红兵出席会议并致辞，5位教授专家作报告。来自电子科技大学、四川大学和西南科技大学的百余名师生参会。
380,11月2日，2023年度《麻省理工科技评论》“35岁以下科技创新35人”亚太区入选者正式发布，基础院黄明教授、夏娟研究员入选。
381,11月3日，中国空气动力研究与发展中心负责人一行到信通学院调研，双方围绕高层次人才培养、学生就业等进行了深入交流。
382,11月3日，电子学院面向2023级本科生开展传染病防治讲座，邀请校医院林媛老师作传染病防治知识科普。
383,11月3日，由校研究生院主办、光电学院承办的“研究生卓越发展引航讲坛”，邀请中国工程物理研究院电子工程研究所科技委副主任曾超作题为“筑国防基石，做民族脊梁——微系统可靠性技术及其发展趋势”的报告。
384,11月3日，光电学院、基础院、电科院联合举办电信防诈讲座，邀请高新区分局合作路派出所、电子科大清水河校区驻校民警刁坤作专题培训。
385,11月3日，2023届自动化学院团委学生会成立大会在清水河校区举行，进行新任学生骨干的聘任仪式。学院党委副书记何芳、学生科老师、学院团学骨干，校学生会主席团、部分学院学生会主席团参加活动。
386,11月3日，计算机（网安）学院举办教师荣休仪式，5位退休教师回顾了工作经历，学院党委书记张庆琳代表学院感谢退休教师为学院发展所作的贡献。
387,11月3日，2023年学校新任科级管理人员素质能力提升培训班暨“机关学堂”专题培训班举行第六讲培训报告，邀请四川省自贡市公务服务中心王守安作了题为“公务接待与办公室礼仪”的培训报告。
388,11月3日，体育部召开宣传工作会，体育部党总支委员、副主任赵章志传达学校相关会议精神并解读体育部宣传工作相关制度，党总支书记王勋对宣传工作进行安排布置。
389,11月3日，英才学院开展“一站式”学生社区建设精品活动，邀请留学规划特聘导师为学生进行一对一留学咨询服务。
390,11月3日，基础院举办第十二期“潜研畅谈”讲座，邀请王德辉教授作题为“仿生——学习自然，超越自然”的报告。
391,11月3日，广安市政府副秘书长罗银华一行到校调研，双方就车联网、芯片测试平台、玄武岩纤维材料、人才培养等进行了深入交流，相关职能部门、学院负责人参加会谈。
392,11月2日，信通学院党委副书记耿宝莹为信通分党校275名发展对象作题为“世界社会主义运动与中国共产党”的专题辅导报告。
393,11月2日，材料学院党委书记周海涛、院长林媛一行赴桂林电子科技大学材料科学与工程学院调研，双方围绕党建工作、学科建设、人才培养、师资队伍等进行了深入交流。
394,11月2日，自动化学院教工仪一支部联合研究生仪一、仪二、本三等学生支部开展“凝心聚力，共话未来”师生交流座谈会，围绕学生科研困惑、研究方向选择、未来发展规划等进行了深入交流。
395,11月2日，计算机（网安）学院召开班主任工作交流会，作“学准则守准则，争做四有好老师”师德师风培训，学习《新时代高校教师职业行为十项准则》等文件精神，班主任们围绕人才培养目标、学院人才培养情况、班主任岗位职责等进行了深入交流。校级优秀班主任赵志为老师、孙明老师分享工作经验。
396,11月2日，由校研会主办、经管学院研究生会承办的第48期“优博论坛”，邀请2020级博士生章潇月作题为“Online算法与竞争分析框架在管理问题中的应用”的分享。
397,11月2日，数学-机电学院分党校邀请物理学院党委副书记杨茂为2023年第二期全体发展对象作题为“世界社会主义运动与中国共产党”的专题辅导报告。
398,11月2日，生命学院召开党委会会议，传达学校教师思想政治和师德师风建设专项巡察动员部署会精神，并对学院工会教代会执委会换届工作进行安排部署。
399,11月2日，外国语学院党委邀请马克思主义学院商继政教授作题为“马克思主义中国化时代化新的飞跃——全面准确理解习近平新时代中国特色社会主义思想”的专题辅导报告，140余名党校学员和预科新生参加学习。
400,11月2日，集电学院联合基础院邀请四川大学保密办吕顺老师开展2023年度保密培训。
401,11月2日，研究生院举办“研究生求职工作坊”，邀请中国电子科技集团公司第二十九研究所招聘主管杨晨秀围绕人才需求、职业选择与面试技巧等为同学们作分享。
402,11月2日，鲁汶大学工程科技学院国际处处长Wim Polet一行来访我校，双方围绕“2+2”、“4+2”合作项目执行情况，未来开发新项目合作等进行了深入交流。电子学院、机电学院、光电学院、国际处相关负责人参加座谈。
403,11月1日，信通学院开展新生教育课第六讲，邀请图书馆杨家燕老师为同学们介绍馆藏纸质资源和电子资源获取方法。
